,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,序号_y,名称_y,最新价_y,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比
0,1,603176,N汇通,2.45,44.12,0.75,17132.0,4182026.0,24.12,2.45,2.04,2.04,1.7,,1.47,11.74,1.2,1038.0,N汇通,2.45,44.12,3880844.0,92.8,2889672.0,69.1,991172.0,23.7,162586.0,3.89,-4043431.0,-96.69
1,2,301168,通灵股份,60.06,20.0,10.01,153886.0,891721568.0,19.1,60.06,50.5,51.0,50.05,2.81,54.09,85.29,3.96,37.0,通灵股份,60.06,20.0,165796006.0,18.59,169295841.0,18.99,-3499835.0,-0.39,-94932733.0,-10.65,-70863265.0,-7.95
2,3,300248,新开普,15.12,20.0,2.52,710035.0,987060336.0,20.56,15.12,12.53,12.53,12.6,1.16,17.54,168.41,4.13,22.0,新开普,15.12,20.0,224205262.0,22.71,237438798.0,24.06,-13233536.0,-1.34,-128425908.0,-13.01,-95779367.0,-9.7
3,4,301043,绿岛风,38.89,19.99,6.48,77212.0,291880528.0,21.01,38.89,32.08,32.08,32.41,7.51,45.42,41.66,3.6,87.0,绿岛风,38.89,19.99,83347222.0,28.56,82489573.0,28.26,857649.0,0.29,-33773885.0,-11.57,-49573337.0,-16.98
4,5,300818,耐普矿机,49.4,19.99,8.23,27700.0,136838000.0,0.0,49.4,49.4,49.4,41.17,3.51,8.81,27.2,3.67,462.0,耐普矿机,49.4,19.99,15116401.0,11.05,21172840.0,15.47,-6056439.0,-4.43,-9386000.0,-6.86,-5730400.0,-4.19
5,6,300181,佐力药业,11.66,19.96,1.94,903809.0,979242720.0,20.47,11.66,9.67,9.67,9.72,1.29,18.31,40.47,3.16,30.0,佐力药业,11.66,19.96,185410472.0,18.93,167716845.0,17.13,17693627.0,1.81,-80316914.0,-8.2,-105093569.0,-10.73
6,7,835670,数字人,27.23,17.73,4.1,47369.0,122730075.0,26.37,28.9,22.8,23.45,23.13,2.11,14.58,260.49,7.41,,,,,,,,,,,,,,
7,8,688180,君实生物-U,66.98,16.3,9.39,228625.0,1477567072.0,16.24,68.75,59.4,59.52,57.59,4.77,5.35,-116.68,7.93,62.0,君实生物-U,66.98,16.3,118381017.0,8.01,97998457.0,6.63,20382560.0,1.38,-59820272.0,-4.05,-58560755.0,-3.96
8,9,300856,科思股份,63.17,15.36,8.41,46910.0,286359824.0,16.36,64.46,55.5,55.5,54.76,6.11,12.08,47.86,4.54,463.0,科思股份,63.17,15.36,15050838.0,5.26,23935662.0,8.36,-8884824.0,-3.1,-15815005.0,-5.52,764167.0,0.27
9,10,300026,红日药业,7.83,14.64,1.0,5234724.0,3986703856.0,22.99,8.18,6.61,6.65,6.83,1.06,19.52,27.69,3.05,19.0,红日药业,7.83,14.64,256181616.0,6.43,138471200.0,3.47,117710416.0,2.95,-161886800.0,-4.06,-94294832.0,-2.37
10,11,300841,康华生物,212.72,13.12,24.67,43569.0,901685296.0,17.65,222.19,189.0,190.0,188.05,2.65,7.09,24.61,7.73,3999.0,康华生物,212.72,13.12,-13879453.0,-1.54,11197913.0,1.24,-25077366.0,-2.78,1051616.0,0.12,12827833.0,1.42
11,12,300705,九典制药,35.14,12.92,4.02,102729.0,349994224.0,13.91,35.53,31.2,31.2,31.12,2.74,7.25,36.55,8.29,578.0,九典制药,35.14,12.92,11051017.0,3.16,20283435.0,5.8,-9232418.0,-2.64,-10243735.0,-2.93,-807282.0,-0.23
12,13,300382,斯莱克,23.04,12.39,2.54,274043.0,608621392.0,14.63,23.4,20.4,20.4,20.5,2.54,4.72,133.46,11.73,196.0,斯莱克,23.04,12.39,40566666.0,6.67,-17043537.0,-2.8,57610203.0,9.47,1038510.0,0.17,-41605175.0,-6.84
13,14,301101,明月镜片,54.38,11.89,5.78,91924.0,485174832.0,17.82,56.66,48.0,48.0,48.6,1.37,31.02,100.24,5.31,121.0,明月镜片,54.38,11.89,62761397.0,12.94,41944449.0,8.65,20816948.0,4.29,-11190608.0,-2.31,-51570788.0,-10.63
14,15,300025,华星创业,4.99,11.88,0.53,1068181.0,540082656.0,21.3,5.35,4.4,4.48,4.46,9.22,24.93,-124.87,6.89,105.0,华星创业,4.99,11.88,71421676.0,13.22,55977490.0,10.36,15444186.0,2.86,-46969575.0,-8.7,-24452103.0,-4.53
15,16,300355,蒙草生态,5.4,11.8,0.57,2346311.0,1271458224.0,20.29,5.8,4.82,4.86,4.83,2.48,17.94,26.84,2.05,300.0,蒙草生态,5.4,11.8,26805165.0,2.11,79176605.0,6.23,-52371440.0,-4.12,23030544.0,1.81,-49835712.0,-3.92
16,17,430090,同辉信息,8.15,11.8,0.86,168320.0,139733629.0,18.38,8.79,7.45,7.5,7.29,3.66,18.93,395.02,3.98,,,,,,,,,,,,,,
17,18,688555,泽达易盛,36.29,11.42,3.72,55094.0,197229383.0,14.0,37.68,33.12,33.82,32.57,0.96,13.48,62.45,3.58,566.0,泽达易盛,36.29,11.42,11249281.0,5.7,572553.0,0.29,10676728.0,5.41,-1362317.0,-0.69,-9886964.0,-5.01
18,19,834021,流金岁月,6.09,11.33,0.62,277227.0,174207552.0,22.85,7.05,5.8,5.8,5.47,6.39,15.15,34.12,3.05,,,,,,,,,,,,,,
19,20,300398,飞凯材料,24.16,10.83,2.36,413144.0,954609152.0,15.5,24.82,21.44,22.11,21.8,3.13,8.1,34.57,4.31,47.0,飞凯材料,24.16,10.83,139999192.0,14.67,112499837.0,11.78,27499355.0,2.88,-28904528.0,-3.03,-111094673.0,-11.64
20,21,688138,清溢光电,19.22,10.27,1.79,98741.0,188504875.0,16.75,20.06,17.14,17.6,17.43,5.18,12.11,124.19,4.33,387.0,清溢光电,19.22,10.27,20413375.0,10.83,14011014.0,7.43,6402361.0,3.4,-2170656.0,-1.15,-18242720.0,-9.68
21,22,300199,翰宇药业,12.61,10.13,1.16,1414410.0,1742986496.0,21.48,13.74,11.28,12.0,11.45,2.23,22.47,-73.45,7.57,4688.0,翰宇药业,12.61,10.13,-187776662.0,-10.77,-114428582.0,-6.57,-73348080.0,-4.21,43836992.0,2.52,143939664.0,8.26
22,23,000982,中银绒业,3.37,10.13,0.31,4612368.0,1526600992.0,10.13,3.37,3.06,3.07,3.06,5.57,10.82,279.06,12.87,7.0,中银绒业,3.37,10.13,443915162.0,29.08,444465658.0,29.11,-550496.0,-0.04,-193389200.0,-12.67,-250525968.0,-16.41
23,24,002554,惠博普,3.81,10.12,0.35,1167432.0,430565136.0,10.4,3.81,3.45,3.5,3.46,1.46,13.62,34.35,2.2,76.0,惠博普,3.81,10.12,101567333.0,23.59,115439682.0,26.81,-13872349.0,-3.22,-35323685.0,-8.2,-66243648.0,-15.39
24,25,000530,冰山冷热,5.67,10.1,0.52,842319.0,466137216.0,9.13,5.67,5.2,5.35,5.15,1.12,14.07,-86.3,1.44,198.0,冰山冷热,5.67,10.1,40265942.0,8.64,57337808.0,12.3,-17071866.0,-3.66,-41332338.0,-8.87,1066395.0,0.23
25,26,000953,河化股份,5.89,10.09,0.54,148761.0,83240525.0,13.27,5.89,5.18,5.22,5.35,1.69,4.65,493.01,12.66,359.0,河化股份,5.89,10.09,22204372.0,26.67,23957737.0,28.78,-1753365.0,-2.11,-10045777.0,-12.07,-12158596.0,-14.61
26,27,000597,东北制药,6.22,10.09,0.57,268865.0,164604903.0,9.03,6.22,5.71,5.76,5.65,1.57,2.03,246.6,2.04,195.0,东北制药,6.22,10.09,40605776.0,24.67,45258747.0,27.5,-4652971.0,-2.83,-24811177.0,-15.07,-15794599.0,-9.6
