,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,序号_y,名称_y,最新价_y,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比,a1,MA5,MA10,MA20,MA30,MA60,MA5_1,MA10_1,MA20_1,MA30_1,MA60_1,MA5_score,MA10_score,MA20_score,MA30_score,MA60_score,T_MA5_score,T_MA10_score,T_MA20_score,T_MA30_score,T_MA60_score
0,1,603176,N汇通,2.45,44.12,0.75,17132.0,4182026.0,24.12,2.45,2.04,2.04,1.7,,1.47,11.74,1.2,1038.0,N汇通,2.45,44.12,3880844.0,92.8,2889672.0,69.1,991172.0,23.7,162586.0,3.89,-4043431.0,-96.69,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,301168,通灵股份,60.06,20.0,10.01,153886.0,891721568.0,19.1,60.06,50.5,51.0,50.05,2.81,54.09,85.29,3.96,37.0,通灵股份,60.06,20.0,165796006.0,18.59,169295841.0,18.99,-3499835.0,-0.39,-94932733.0,-10.65,-70863265.0,-7.95,0.0,54.355999999999995,53.722,,,,52.077999999999996,53.547000000000004,,,,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,300248,新开普,15.12,20.0,2.52,710035.0,987060336.0,20.56,15.12,12.53,12.53,12.6,1.16,17.54,168.41,4.13,22.0,新开普,15.12,20.0,224205262.0,22.71,237438798.0,24.06,-13233536.0,-1.34,-128425908.0,-13.01,-95779367.0,-9.7,0.0,13.413999999999998,11.819999999999999,10.934000000000001,10.594666666666667,9.546666666666665,12.372,11.299000000000001,10.641,10.412666666666667,9.427999999999999,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,301043,绿岛风,38.89,19.99,6.48,77212.0,291880528.0,21.01,38.89,32.08,32.08,32.41,7.51,45.42,41.66,3.6,87.0,绿岛风,38.89,19.99,83347222.0,28.56,82489573.0,28.26,857649.0,0.29,-33773885.0,-11.57,-49573337.0,-16.98,0.0,34.236000000000004,32.612,32.01950000000001,32.216,31.3235,32.462,31.851,31.596999999999998,32.01166666666666,31.172,5.0,10.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,300818,耐普矿机,49.4,19.99,8.23,27700.0,136838000.0,0.0,49.4,49.4,49.4,41.17,3.51,8.81,27.2,3.67,462.0,耐普矿机,49.4,19.99,15116401.0,11.05,21172840.0,15.47,-6056439.0,-4.43,-9386000.0,-6.86,-5730400.0,-4.19,0.0,41.660000000000004,37.951,36.522000000000006,36.35333333333333,36.0105,38.584,36.437,35.763,35.976,35.7185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,300181,佐力药业,11.66,19.96,1.94,903809.0,979242720.0,20.47,11.66,9.67,9.67,9.72,1.29,18.31,40.47,3.16,30.0,佐力药业,11.66,19.96,185410472.0,18.93,167716845.0,17.13,17693627.0,1.81,-80316914.0,-8.2,-105093569.0,-10.73,0.0,10.554,9.930000000000001,9.0235,8.761,8.349333333333332,10.306000000000001,9.6,8.846,8.643333333333334,8.302,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,835670,数字人,27.23,17.73,4.1,47369.0,122730075.0,26.37,28.9,22.8,23.45,23.13,2.11,14.58,260.49,7.41,,,,,,,,,,,,,,,0.0,25.326,24.412,21.4075,19.903666666666666,17.778666666666666,24.876,24.102,20.8545,19.551,17.548000000000002,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,688180,君实生物-U,66.98,16.3,9.39,228625.0,1477567072.0,16.24,68.75,59.4,59.52,57.59,4.77,5.35,-116.68,7.93,62.0,君实生物-U,66.98,16.3,118381017.0,8.01,97998457.0,6.63,20382560.0,1.38,-59820272.0,-4.05,-58560755.0,-3.96,0.0,61.55800000000001,60.011,60.3135,59.733,55.499500000000005,59.63199999999999,59.222,59.78099999999999,59.43433333333334,55.31316666666667,5.0,10.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,300856,科思股份,63.17,15.36,8.41,46910.0,286359824.0,16.36,64.46,55.5,55.5,54.76,6.11,12.08,47.86,4.54,463.0,科思股份,63.17,15.36,15050838.0,5.26,23935662.0,8.36,-8884824.0,-3.1,-15815005.0,-5.52,764167.0,0.27,0.0,58.193999999999996,56.922000000000004,56.699,55.34533333333333,51.63433333333333,56.748000000000005,56.223,55.99100000000001,55.01766666666667,51.257,5.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,300026,红日药业,7.83,14.64,1.0,5234724.0,3986703856.0,22.99,8.18,6.61,6.65,6.83,1.06,19.52,27.69,3.05,19.0,红日药业,7.83,14.64,256181616.0,6.43,138471200.0,3.47,117710416.0,2.95,-161886800.0,-4.06,-94294832.0,-2.37,0.0,7.017999999999999,6.021,5.1645,4.877666666666666,4.5296666666666665,6.7219999999999995,5.68,4.9864999999999995,4.755,4.4718333333333335,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11,300841,康华生物,212.72,13.12,24.67,43569.0,901685296.0,17.65,222.19,189.0,190.0,188.05,2.65,7.09,24.61,7.73,3999.0,康华生物,212.72,13.12,-13879453.0,-1.54,11197913.0,1.24,-25077366.0,-2.78,1051616.0,0.12,12827833.0,1.42,0.0,196.296,183.94,175.902,172.881,172.89,188.918,179.519,173.284,171.26233333333332,172.473,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12,300705,九典制药,35.14,12.92,4.02,102729.0,349994224.0,13.91,35.53,31.2,31.2,31.12,2.74,7.25,36.55,8.29,578.0,九典制药,35.14,12.92,11051017.0,3.16,20283435.0,5.8,-9232418.0,-2.64,-10243735.0,-2.93,-807282.0,-0.23,7.35837137356738e-17,32.964,32.939,31.141,30.045333333333335,27.1405,32.484,32.602,30.753999999999998,29.739666666666665,26.981666666666666,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13,300382,斯莱克,23.04,12.39,2.54,274043.0,608621392.0,14.63,23.4,20.4,20.4,20.5,2.54,4.72,133.46,11.73,196.0,斯莱克,23.04,12.39,40566666.0,6.67,-17043537.0,-2.8,57610203.0,9.47,1038510.0,0.17,-41605175.0,-6.84,0.0,21.68,21.838,22.7035,23.836333333333332,25.917833333333338,21.192,21.724,22.7585,24.048333333333332,25.921166666666668,5.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
13,14,301101,明月镜片,54.38,11.89,5.78,91924.0,485174832.0,17.82,56.66,48.0,48.0,48.6,1.37,31.02,100.24,5.31,121.0,明月镜片,54.38,11.89,62761397.0,12.94,41944449.0,8.65,20816948.0,4.29,-11190608.0,-2.31,-51570788.0,-10.63,0.0,50.854,48.919000000000004,,,,48.868,49.016999999999996,,,,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15,300025,华星创业,4.99,11.88,0.53,1068181.0,540082656.0,21.3,5.35,4.4,4.48,4.46,9.22,24.93,-124.87,6.89,105.0,华星创业,4.99,11.88,71421676.0,13.22,55977490.0,10.36,15444186.0,2.86,-46969575.0,-8.7,-24452103.0,-4.53,0.0,4.593999999999999,4.449,4.3525,4.355666666666667,4.149,4.43,4.396,4.313000000000001,4.337666666666666,4.132499999999999,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16,300355,蒙草生态,5.4,11.8,0.57,2346311.0,1271458224.0,20.29,5.8,4.82,4.86,4.83,2.48,17.94,26.84,2.05,300.0,蒙草生态,5.4,11.8,26805165.0,2.11,79176605.0,6.23,-52371440.0,-4.12,23030544.0,1.81,-49835712.0,-3.92,0.0,5.062,5.102,4.873,4.790333333333334,4.549666666666666,4.984,5.058000000000001,4.8355,4.759333333333333,4.535833333333333,5.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17,430090,同辉信息,8.15,11.8,0.86,168320.0,139733629.0,18.38,8.79,7.45,7.5,7.29,3.66,18.93,395.02,3.98,,,,,,,,,,,,,,,0.0,7.616,7.496,7.1945,7.018,6.830333333333333,7.45,7.5200000000000005,7.081500000000001,6.9816666666666665,6.7975,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
